mes,data,status,fonte,boletins_esperados,boletins_ok,caminho_local,detalhe
04 - ABR - 26,21-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,01-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,05-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,06-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,07-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,08-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,11-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,12-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,13-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,14-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,15-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,19-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,20-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,22-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,25-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,26-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,27-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,28-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
05 - MAI - 26,29-05-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,01-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,05-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,11-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,12-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,15-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,16-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,17-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,18-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,19-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,22-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,23-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,24-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,25-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,26-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,29-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
06 - JUN - 26,30-06-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,01-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,02-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,03-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,06-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,07-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,08-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,09-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,10-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,13-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,14-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,15-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,16-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,17-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,20-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,21-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,22-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,23-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,24-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,28-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,29-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,30-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
07 - JUL - 26,31-07-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,03-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,04-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,05-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,06-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,07-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,10-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,11-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,12-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,13-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,14-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,17-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,18-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,19-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,20-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,21-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,24-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,25-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,27-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,28-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
08 - AGO - 26,31-08-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
